名称,销售量,销售额,商品单价,是否促销
日配,1,15.9,21.9,是
蔬果,0.614,7.36,11.98,否
休闲,1,3.9,3.9,否
蔬果,1.196,14.33,11.98,否
蔬果,0.395,0.58,1.48,否
粮油,5,19.5,6.7,是
蔬果,1.496,4.44,2.56,否
日配,1.566,10.62,6.78,否
蔬果,0.424,0.8,6.56,否
日配,1,9.8,14.9,是
休闲,0.29,3.42,11.8,否
蔬果,0.554,9.75,17.6,否
酒饮,1,11.3,11.3,否
休闲,1,9.7,9.7,否
粮油,0.168,11.76,70,否
日配,0.808,5.48,6.78,否
蔬果,0.751,2.97,3.96,否
蔬果,0.608,1.22,2,否
日配,1,5.5,7.5,是
蔬果,0.632,1.63,2.58,否
蔬果,0.446,1.77,3.96,否
蔬果,0.132,1.05,7.96,否
蔬果,0.684,3.97,5.8,否
休闲,1,4.5,4.5,否
日配,1.496,10.14,6.78,否
休闲,5,5,1,否
休闲,1,5.9,5.9,否
蔬果,0.476,0.93,1.96,否
粮油,1,8.9,8.9,否
粮油,1,1.9,1.9,否
文体,1,1.7,1.7,否
休闲,1,3.9,3.9,否
蔬果,0.87,5.19,5.96,否
洗化,1,6.9,6.9,否
粮油,1,15.9,15.9,否
休闲,1,3.9,3.9,否
蔬果,0.734,1.47,2,否
文体,1,11.3,11.3,否
酒饮,1,9.9,9.9,否
针织,1,30,30,否
休闲,0.504,30.14,59.8,否
蔬果,0.26,1.98,7.6,否
日配,1.3,8.81,6.78,否
日配,1,13.9,16.3,是
蔬果,0.544,3.57,6.56,否
休闲,1,8.9,8.9,否
休闲,1,5.5,5.5,否
洗化,1,11.7,11.7,否
日配,2.058,13.95,6.78,否
粮油,1.238,8.42,6.8,否
蔬果,0.894,8.9,9.96,否
日配,1,3.9,5,是
酒饮,1,6.5,6.5,否
洗化,1,4.7,4.7,否
日配,1.212,24,19.8,否
粮油,1,4.3,4.3,否
粮油,0.49,2.9,10.8,是
粮油,1,4.9,4.9,否
冲调,1,4.9,4.9,否
休闲,0.358,5.66,15.8,否
酒饮,1,6.9,6.9,否
蔬果,0.532,6.38,12,否
肉禽,0.316,8.78,27.8,否
日配,1,3.3,3.3,否
休闲,1,12,12,否
休闲,1,3.5,3.5,否
休闲,0.298,5.36,18,否
日配,1,9.3,9.3,否
粮油,1,10.9,10.9,否
日配,1.676,11.36,6.78,否
日配,0.73,4.95,6.78,否
蔬果,0.264,2.1,7.96,否
肉禽,2.096,49.88,23.8,否
蔬果,0.508,1.01,1.98,否
蔬果,4,8,2,否
洗化,1,12.9,15.9,是
日配,1,9.9,9.9,否
休闲,1,5.8,5.8,否
蔬果,0.36,2.09,5.8,否
家电,6,6,1,否
蔬果,0.787,2.01,2.56,否
蔬果,0.903,4.52,5,否
休闲,0.53,15.79,39.6,是
休闲,1,8.7,8.7,否
休闲,6,23.4,3.9,否
休闲,1,5.9,5.9,否
粮油,4.66,26,5.58,否
蔬果,0.708,1.27,1.8,否
蔬果,0.278,1.82,6.56,否
蔬果,2,3,1.5,否
休闲,0.17,4.33,35.8,是
蔬果,0.74,7.38,9.96,否
肉禽,1.992,51.39,25.8,否
蔬果,4.108,24.48,5.96,否
蔬果,0.417,2.34,5.6,否
蔬果,0.592,2.96,5,否
日配,0.32,2.72,8.5,否
洗化,1,12.9,17.9,是
日配,1,6.9,8.3,是
蔬果,0.381,3.66,9.6,否
蔬果,1.366,5.46,4,否
蔬果,1.008,17.74,17.6,否
蔬果,0.534,1.37,2.56,否
蔬果,0.388,1.94,5,否
日配,1,7.3,7.3,否
蔬果,0.604,3.6,9.96,否
蔬果,0.482,8.1,16.8,否
粮油,1,3.9,3.9,否
肉禽,0.272,7.62,28,否
蔬果,0.654,10.4,15.9,否
蔬果,0.132,3.59,27.2,否
洗化,1,17.9,24.9,是
冲调,1,4.9,4.9,否
蔬果,0.89,1.76,1.98,否
粮油,6,53.4,8.9,否
酒饮,3,198,66,否
休闲,1,10.3,11.3,否
休闲,1,4,4,否
粮油,1,14.7,14.7,否
休闲,1,6.9,6.9,否
肉禽,0.246,7.33,29.8,否
蔬果,0.27,1.61,5.98,否
蔬果,0.667,2.67,4,否
日配,1,7.3,7.3,否
粮油,1,2.3,2.3,否
蔬果,0.752,1.5,2,否
蔬果,0.746,20.74,27.8,否
蔬果,0.648,3.86,5.96,否
酒饮,1,25,25,否
休闲,0.104,3.08,29.6,否
蔬果,7.705,42.84,5.56,否
洗化,1,9.9,9.9,否
洗化,1,3.9,3.9,否
洗化,1,16.9,16.9,否
蔬果,0.556,1,1.8,否
日配,1,8,8,否
蔬果,0.406,6.46,15.9,否
酒饮,1,6.5,6.5,否
蔬果,0.778,4.67,6,否
蔬果,1.064,4.21,3.96,否
粮油,1,6.8,6.8,否
酒饮,1,58,89.9,是
粮油,1,6.8,7.9,否
蔬果,0.176,1.05,5.98,否
酒饮,1,3.5,3.5,否
休闲,0.256,5,27.8,是
休闲,0.194,5,35.8,是
蔬果,0.422,4.05,9.6,否
粮油,1,2.3,2.3,否
蔬果,1.462,4.65,3.18,否
休闲,1,34.5,34.5,否
粮油,1.006,11.97,11.9,否
蔬果,6.945,17.78,2.56,否
蔬果,0.376,1.49,3.96,否
日配,1,3.9,4.5,是
休闲,1,2.6,2.6,否
蔬果,2,4,2,否
蔬果,4,8,2,否
粮油,1,4.9,4.9,否
粮油,0.178,3.52,19.8,否
蔬果,0.891,10.67,11.98,否
文体,1,2.7,2.7,否
文体,1,1.7,1.7,否
蔬果,0.494,8.69,17.6,否
粮油,1,8.3,8.3,否
蔬果,5.514,9.93,1.8,否
蔬果,1,4.98,4.98,否
蔬果,0.728,1.43,1.96,否
蔬果,0.636,4.17,6.56,否
洗化,1,9.9,9.9,否
休闲,1,5.5,5.5,否
日配,1,8,11.5,是
休闲,0.288,3.4,11.8,否
洗化,1,9.9,15.9,是
休闲,1,1.2,1.2,否
蔬果,0.256,2.7,9,否
蔬果,0.562,2.23,3.96,否
蔬果,0.578,6.1,17.6,否
日配,1,6.3,6.3,否
休闲,1,5.5,5.5,否
日配,1,2.9,4.5,是
蔬果,0.538,0.97,1.8,否
蔬果,2.092,6.65,3.18,否
蔬果,0.092,0.88,9.6,否
日配,1,18.3,18.3,否
洗化,1,5.9,5.9,否
蔬果,0.266,2.12,7.96,否
蔬果,1.522,6.09,4,否
休闲,1,4.7,4.7,否
蔬果,0.178,1.17,6.56,否
粮油,0.226,15.82,70,否
休闲,1,1.5,1.5,否
休闲,0.52,5.03,17.8,是
休闲,0.302,5.37,25.8,是
蔬果,0.176,0.98,5.56,否
蔬果,3.188,8.16,2.56,否
蔬果,1,4.98,4.98,否
日配,1,9.9,10.9,否
文体,1,2.3,2.3,否
酒饮,1,32.7,32.7,否
粮油,0.104,6.13,89.8,是
粮油,1,5.5,5.5,否
蔬果,0.796,7.16,9,否
洗化,1,9.9,15.9,是
日配,1,13.9,18.3,是
休闲,0.302,4.15,19.8,是
熟食,0.456,9.12,20,否
肉禽,0.3,8.94,29.8,否
日配,5,10.5,2.1,否
粮油,1,6.9,6.9,否
蔬果,0.586,32.82,56,否
日配,0.714,4.84,6.78,否
蔬果,0.61,2.42,3.96,否
蔬果,0.454,2.63,5.8,否
酒饮,1,14.3,14.3,否
酒饮,1,4,4,否
酒饮,1,5.5,5.5,否
休闲,1,8.5,8.5,否
蔬果,0.764,3.03,3.96,否
蔬果,0.364,1.82,5,否
粮油,5.054,28.2,5.58,否
休闲,0.29,7.44,29.8,是
日配,1,13.9,16.3,是
蔬果,1,24,24,否
休闲,1,2.5,2.5,否
蔬果,0.798,9.56,11.98,否
休闲,1,4,4,否
洗化,1,18.7,18.7,否
粮油,1,3.6,3.9,是
文体,1,3.3,3.3,否
蔬果,0.602,10.6,17.6,否
休闲,1,8.3,8.3,否
休闲,1,13.9,13.9,否
蔬果,0.368,2.21,6,否
洗化,1,8.9,8.9,否
蔬果,1,24,24,否
蔬果,4,8,2,否
蔬果,0.994,3.94,3.96,否
粮油,1,41.9,49.9,是
粮油,1,4.3,4.3,否
蔬果,0.5,1.48,2.96,否
蔬果,0.376,2.11,5.6,否
蔬果,0.278,1.11,1.48,否
休闲,0.462,7.2,19.6,是
蔬果,0.408,7.34,18,否
休闲,0.262,7.8,39.6,是
粮油,0.24,9.07,37.8,否
粮油,1,8.5,8.5,否
休闲,1,19.9,19.9,否
蔬果,0.908,5.96,6.56,否
粮油,0.36,21.22,89.8,是
粮油,1,2.3,2.3,否
蔬果,0.634,2.51,3.96,否
粮油,1,5.3,5.3,否
蔬果,0.354,2.12,5.98,否
蔬果,0.964,3.82,3.96,否
蔬果,0.258,1.96,7.6,否
日配,1,1.7,1.7,否
蔬果,7.745,24.47,3.16,否
日配,16,44.8,2.8,否
蔬果,0.568,1.11,1.96,否
洗化,1,2,2,否
蔬果,0.16,1.54,9.6,否
粮油,1,4.9,4.9,否
酒饮,1,4.5,4.5,否
洗化,1,7.9,8.9,是
蔬果,0.256,2.3,9,否
蔬果,0.914,3.62,3.96,否
蔬果,0.522,3.12,6.56,否
蔬果,1.024,2.01,1.96,否
休闲,1,1.9,3.5,是
粮油,1,6.9,6.9,否
休闲,1,3.5,3.5,否
洗化,1,20.9,20.9,否
粮油,0.878,12.12,13.8,否
蔬果,0.508,1.01,1.98,否
蔬果,0.22,3.43,15.6,否
蔬果,0.892,8.56,9.6,否
酒饮,1,3.3,3.3,否
蔬果,0.202,1.17,5.8,否
洗化,1,9.5,9.5,否
休闲,0.414,8.2,19.8,否
蔬果,4,8,2,否
蔬果,1.658,5.27,3.18,否
日配,4,41.2,10.3,否
休闲,0.514,20.46,39.8,否
粮油,1,2.7,2.7,否
日配,1,8.9,12.9,是
洗化,1,18.9,24.9,是
洗化,1,7.8,8.9,是
熟食,0.204,18.36,90,否
蔬果,1,4.98,4.98,否
粮油,2,15.8,8.9,否
洗化,1,18.9,24.9,是
洗化,1,6.7,6.7,否
日配,1,2.3,2.3,否
日配,0.824,14.67,17.8,否
蔬果,0.384,0.69,1.8,否
休闲,0.312,4.3,19.8,是
粮油,1,3.9,3.9,否
洗化,1,9.9,15.9,是
休闲,0.338,5.34,27.8,是
蔬果,0.362,3.48,9.6,否
蔬果,0.212,1.23,5.8,否
休闲,16,17.6,1.1,否
洗化,1,13.9,13.9,否
洗化,1,15.6,15.9,是
蔬果,0.852,5.7,6.56,否
酒饮,1,11.9,11.9,否
休闲,1,2.9,2.9,否
休闲,0.236,4.67,25,是
粮油,4.66,26,5.58,否
蔬果,0.288,1.67,5.8,否
粮油,1,42.9,42.9,否
蔬果,0.49,3.21,6.56,否
蔬果,1.781,4.59,2.58,否
蔬果,0.28,2.79,9.96,否
熟食,0.506,10.12,20,否
家居,1,10,10,否
日配,0.524,3.55,6.78,否
蔬果,1.037,6.18,5.96,否
粮油,1,14.7,14.7,否
粮油,1,9.5,9.5,否
日配,24,58.8,3,是
肉禽,0.366,10.17,27.8,否
肉禽,0.304,8.45,27.8,否
休闲,1,3.3,3.3,否
休闲,1,3.3,3.3,否
肉禽,1.994,51.45,25.8,否
蔬果,0.416,4.15,9.98,否
熟食,4,2,0.5,否
熟食,2,2,1,否
肉禽,0.184,5.48,29.8,否
粮油,5.054,28.2,5.58,否
蔬果,0.084,1.31,15.6,否
休闲,0.376,11.2,39.6,是
日配,12,39.9,5.5,是
蔬果,0.309,1.73,5.6,否
蔬果,0.116,0.76,6.56,否
蔬果,0.18,2.86,15.9,否
日配,0.936,6.35,6.78,否
酒饮,1,2,2,否
粮油,1,5.7,5.7,否
蔬果,0.431,0.85,1.98,否
蔬果,0.326,0.59,1.8,否
休闲,10,10,1,否
日配,24,58.8,3,是
粮油,0.766,5.21,6.8,否
肉禽,1.926,49.69,25.8,否
蔬果,0.798,6.06,7.6,否
粮油,0.706,6.28,8.9,否
文体,1,2.3,2.3,否
洗化,1,29.9,41.9,是
粮油,1,2,2,否
粮油,1,6.9,6.9,否
洗化,1,8.9,8.9,否
洗化,1,9.9,9.9,否
蔬果,0.643,2.55,3.96,否
粮油,1,4.9,4.9,否
蔬果,0.74,1.89,2.56,否
粮油,0.512,30.2,89.8,是
蔬果,0.49,1.94,3.96,否
蔬果,1.268,2.28,1.8,否
蔬果,0.442,3.88,16.8,否
蔬果,0.914,3.62,3.96,否
蔬果,0.667,2.67,4,否
粮油,1.006,12.98,12.9,否
蔬果,1.304,23.21,17.8,否
蔬果,0.382,0.76,2,否
洗化,1,5,6.9,是
休闲,0.662,6.48,15.8,是
粮油,1,5.9,5.9,否
洗化,1,5.9,6.9,是
休闲,1,10,10,否
蔬果,1.18,21,17.8,否
蔬果,0.576,1.13,1.96,否
蔬果,0.552,5.52,10,否
日配,16,43.2,2.7,否
休闲,1,3.9,3.9,否
肉禽,0.272,7.62,28,否
粮油,1,6.7,6.7,否
肉禽,0.184,5.48,29.8,否
蔬果,0.257,1.49,5.8,否
粮油,3.928,16.5,4.2,否
蔬果,0.662,1.31,1.98,否
肉禽,2.236,57.69,25.8,否
蔬果,4.904,27.46,5.6,否
文体,1,2.3,2.3,否
粮油,1,2.7,2.7,否
蔬果,0.349,1.74,5,否
蔬果,0.349,1.74,5,否
粮油,1,6.7,6.7,否
蔬果,0.53,1.37,2.58,否
粮油,1,1.9,1.9,否
蔬果,1.394,24.81,17.8,否
蔬果,2,20,10,否
蔬果,0.355,1.27,2.56,否
粮油,1,3.9,3.9,否
休闲,0.326,3.19,15.8,是
蔬果,0.932,21.44,23,否
休闲,1,4.2,4.2,否
蔬果,1.124,20.01,17.8,否
蔬果,0.226,1.48,6.56,否
休闲,1,10.8,18.9,是
肉禽,1.718,71.81,41.8,否
日配,1,7.3,7.3,否
蔬果,0.364,1.82,5,否
家电,1,5.9,5.9,否
蔬果,1.118,19.68,17.6,否
日配,1,31.7,31.7,否
休闲,1,4.5,4.5,否
酒饮,1,24.9,24.9,否
冲调,1,18.9,23.9,是
蔬果,0.26,2.34,9,否
蔬果,0.345,1.56,5.8,否
洗化,1,9.9,9.9,否
日配,4,8,2,否
蔬果,2,3,1.5,否
水产,0.268,8.04,30,否
蔬果,0.456,2.55,5.6,否
蔬果,2.27,39.95,17.6,否
蔬果,0.465,1.38,2.96,否
针织,1,3.5,8.9,是
粮油,0.162,11.34,70,否
休闲,1,3.9,3.9,否
蔬果,1.415,2.77,1.96,否
休闲,1,0.5,0.5,否
肉禽,0.606,16.85,27.8,否
冲调,1,19.9,25.7,是
粮油,1,4.9,4.9,否
肉禽,0.246,4.33,17.6,否
蔬果,0.242,1.21,5,否
休闲,1,3,3,否
休闲,0.278,29.41,105.8,否
蔬果,1,30,30,否
肉禽,0.982,19.44,19.8,否
蔬果,0.49,1.36,2.78,否
粮油,12,38.4,3.2,否
肉禽,0.942,28.07,29.8,否
蔬果,1.046,2.09,2,否
蔬果,0.584,3.83,6.56,否
蔬果,0.452,1.79,3.96,否
粮油,1,6.5,8.9,是
蔬果,0.881,2.27,2.58,否
休闲,0.43,7.74,18,否
蔬果,0.534,0.96,1.8,否
蔬果,0.438,3.42,7.8,否
蔬果,0.238,4,16.8,否
日配,1,49,65,是
粮油,12,38.4,3.2,否
蔬果,1,4.98,4.98,否
蔬果,0.31,1.74,5.6,否
日配,12,58.8,4.9,否
日配,1,78,78,否
粮油,1,5.5,5.5,否
粮油,1,5.9,5.9,否
蔬果,0.594,3.54,5.96,否
蔬果,0.342,3.08,9,否
蔬果,0.312,0.87,2.78,否
肉禽,0.76,14.9,19.6,否
蔬果,0.252,1.96,7.76,否
休闲,1,2.7,2.7,否
蔬果,0.582,3.38,5.8,否
粮油,1,6.7,6.7,否
蔬果,0.376,2.11,5.6,否
家居,1,2,2,否
休闲,1,4.7,5.9,是
蔬果,0.383,1.53,4,否
日配,1,10.7,10.7,否
粮油,1,9.9,9.9,否
酒饮,1,2,2,否
酒饮,4,8,2,否
蔬果,1.47,8.76,5.96,否
日配,12,58.8,4.9,否
蔬果,0.536,3.52,6.56,否
蔬果,0.588,1.52,2.58,否
粮油,1.006,12.98,12.9,否
粮油,1,3.7,3.7,否
蔬果,0.482,3.76,7.8,否
蔬果,0.482,4,3.96,否
粮油,1,7.9,7.9,否
蔬果,0.4,14.34,60,否
粮油,1,3.8,3.8,否
粮油,0.278,3.28,11.8,否
日配,1,8,11.5,是
蔬果,2,4,2,否
日配,1,8.3,8.3,否
粮油,1,8.9,8.9,否
蔬果,0.42,6.72,16,否
蔬果,0.2,1.16,5.8,否
蔬果,0.65,1.27,1.96,否
洗化,1,9.9,9.9,否
家电,1,38,38,否
酒饮,1,3,3,否
酒饮,4,7.6,2.2,是
休闲,1,5.9,5.9,否
肉禽,0.218,6.06,27.8,否
洗化,1,5.9,5.9,否
粮油,1,4.3,4.3,否
蔬果,0.494,2.47,5,否
蔬果,0.474,1.22,2.58,否
日配,0.996,6.75,6.78,否
休闲,0.082,1.24,19,是
休闲,1,19.9,19.9,否
蔬果,0.274,4.93,18,否
日配,1,8,11.5,是
休闲,0.352,4.85,19.8,是
休闲,1,2.9,2.9,否
蔬果,1.842,14.66,7.96,否
蔬果,0.116,1.11,9.6,否
粮油,1,0.5,0.5,否
粮油,1,5.9,5.9,否
蔬果,0.468,2.34,5,否
粮油,0.485,3.39,6.98,否
粮油,0.68,10.74,15.8,否
蔬果,0.662,2.62,3.96,否
粮油,1,9.9,9.9,否
粮油,1,4.3,4.3,否
休闲,1,7.9,9.3,是
酒饮,1,6.5,6.5,否
休闲,1,13.5,13.5,否
洗化,1,11.9,14.5,是
日配,1,8.9,12.9,是
蔬果,0.822,2.12,2.58,否
休闲,1,13.5,13.5,否
休闲,1,19.9,19.9,否
洗化,1,9.5,9.5,否
粮油,0.2,14,70,否
粮油,1,2.3,2.3,否
粮油,1,3.8,3.8,否
蔬果,0.466,0.92,1.98,否
蔬果,0.598,3.47,5.8,否
粮油,1,4.8,4.8,否
冲调,1,9.9,9.9,否
蔬果,0.294,2.82,9.6,否
蔬果,0.302,1.21,4,否
休闲,1,2.7,2.7,否
休闲,1,3.9,3.9,否
日配,1,5.9,5.9,否
粮油,1,19.3,19.3,否
粮油,1,56.9,56.9,否
休闲,1,7.5,7.5,否
蔬果,0.13,3.54,27.2,否
洗化,1,9.9,9.9,否
酒饮,1,3,3,否
家电,1,3.5,3.5,否
粮油,0.408,2.82,6.9,否
蔬果,0.524,0.84,1.6,否
蔬果,0.598,3.47,5.8,否
休闲,1,5.9,5.9,否
日配,0.89,6.03,6.78,否
粮油,1,14.7,14.7,否
休闲,1,6.5,6.5,否
酒饮,1,15,15,否
休闲,1,8.9,8.9,否
蔬果,1.328,7.7,5.8,否
粮油,3,15.9,5.3,否
蔬果,0.694,2.75,3.96,否
日配,1,49.9,66,是
休闲,1,5.7,5.7,否
休闲,1,33.9,33.9,否
蔬果,0.23,2.07,9,否
粮油,1,6,6.8,否
洗化,1,6.9,8.9,是
蔬果,0.947,2.42,2.56,否
日配,5,14,2.8,否
蔬果,0.27,1.07,3.96,否
蔬果,0.34,1.97,5.8,否
粮油,1,4.3,4.3,否
蔬果,0.304,1.87,6,否
酒饮,1,2.5,2.5,否
日配,1,11.9,11.9,否
粮油,1,3.5,4.3,是
休闲,0.216,2.98,13.8,否
蔬果,0.32,5.12,16,否
蔬果,0.876,3.49,3.98,否
休闲,1,3.5,3.5,否
休闲,1,20.9,20.9,否
洗化,1,3.5,3.9,是
酒饮,1,3.9,3.9,否
洗化,1,14.9,14.9,否
蔬果,0.392,11.76,30,否
日配,1,10.3,10.3,否
蔬果,0.332,2.18,6.56,否
休闲,0.452,6.22,19.6,是
蔬果,0.382,2.35,6.56,否
蔬果,0.36,3.46,9.6,否
粮油,1,5.9,5.9,否
洗化,1,6.9,6.9,否
酒饮,6,13.8,2.9,是
休闲,1,10.8,18.9,是
休闲,1,2.7,3,否
休闲,0.27,12.91,47.8,否
肉禽,2.044,85.44,41.8,否
蔬果,1,2,2,否
冲调,1,4.9,4.9,否
蔬果,0.376,2.47,6.56,否
酒饮,4,8,2,否
酒饮,1,13.8,13.8,否
蔬果,1,2,2,否
粮油,1,2,2,否
粮油,1,8.8,8.8,否
日配,1,11.9,11.9,否
日配,0.972,6.59,6.78,否
洗化,1,3.9,3.9,否
休闲,1,14.9,14.9,否
蔬果,0.617,7.4,12,否
蔬果,0.359,2.36,6.56,否
日配,1,14.3,14.3,否
日配,1,65,65,否
休闲,1,3.5,3.5,否
洗化,1,8.9,8.9,否
家居,1,3.5,3.5,否
蔬果,2.17,38.19,17.6,否
休闲,1,4.7,6,是
蔬果,1.807,14.38,7.96,否
蔬果,5.156,61.77,11.98,否
粮油,1,4.3,4.3,否
粮油,1,9.9,9.9,否
洗化,1,8.7,8.7,否
粮油,1,5.3,5.3,否
粮油,8,4,0.5,否
粮油,1,5.4,5.4,否
粮油,1,11.9,11.9,否
肉禽,1.476,61.7,41.8,否
酒饮,1,14,14,否
日配,1,9.9,9.9,否
冲调,1,9.9,20.3,是
洗化,1,2.3,2.9,是
休闲,1,4,4,否
日配,1,21.5,21.5,否
休闲,0.192,5.7,39.6,是
休闲,1,5.5,5.5,否
休闲,1,3.7,3.7,否
日配,1.814,12.3,6.78,否
蔬果,1.376,5.45,3.96,否
蔬果,0.617,1.72,2.78,否
休闲,1,3.7,3.7,否
休闲,0.224,5.33,33.8,是
日配,12,49,5.5,是
休闲,1,25,25,否
粮油,1,7.9,7.9,否
休闲,0.376,5.19,19.6,是
蔬果,1.228,3.91,3.18,否
粮油,1,4.3,4.3,否
肉禽,0.322,9.6,29.8,否
蔬果,2,9.96,4.98,否
粮油,1,8.2,8.2,否
蔬果,0.468,1.85,3.96,否
休闲,1,3.7,3.7,否
蔬果,1.628,9.7,5.96,否
熟食,0.22,6.16,28,否
休闲,0.272,3.21,11.8,否
休闲,1,16.9,16.9,否
冲调,1,16.9,22.3,是
粮油,1,6.7,6.7,否
休闲,0.254,3.5,19.8,是
粮油,1,5.5,5.5,否
蔬果,0.448,0.89,1.98,否
休闲,1,3.9,3.9,否
蔬果,0.142,1.08,7.6,否
休闲,1,2.7,2.7,否
休闲,1,2.9,2.9,否
蔬果,0.92,6.99,7.6,否
日配,0.458,11.81,32.6,是
酒饮,1,4.7,4.7,否
酒饮,1,13.8,13.8,否
粮油,1,0.5,0.5,否
蔬果,0.322,0.48,1.48,否
日配,1,8,8,否
休闲,1,2.9,2.9,否
粮油,1,11.7,11.7,否
蔬果,0.372,2.23,6,否
洗化,1,16.9,16.9,否
蔬果,1.278,2.3,1.8,否
蔬果,0.218,1.43,6.56,否
休闲,1,17.9,17.9,否
粮油,1,2.3,2.3,否
水产,0.296,8.88,30,否
粮油,1,9.9,9.9,否
蔬果,0.746,1.19,1.6,否
休闲,1,9.3,9.3,否
休闲,1,5.2,5.2,否
休闲,1,17.9,20.9,是
蔬果,0.543,1.39,2.56,否
酒饮,1,10.5,12.7,是
蔬果,0.39,2.26,5.8,否
洗化,1,4.9,5.9,是
蔬果,0.308,1.84,5.98,否
洗化,1,11.9,15.5,是
蔬果,0.486,3.79,7.8,否
蔬果,0.33,3.42,9,否
蔬果,0.498,0.8,1.6,否
粮油,1,4.3,4.3,否
蔬果,0.977,3.89,3.98,否
日配,0.892,6.05,6.78,否
洗化,1,9.9,9.9,否
洗化,1,9.9,9.9,否
蔬果,0.098,1.18,12,否
粮油,1,2.3,2.3,否
蔬果,0.411,2.1,5.6,否
冲调,1,17.5,19.9,是
蔬果,0.516,1.33,2.58,否
休闲,0.326,3.84,19.8,是
粮油,1,5.5,5.5,否
休闲,1,19.9,19.9,否
酒饮,1,2,2,否
肉禽,0.23,6.39,27.8,否
蔬果,0.48,1.42,2.96,否
蔬果,1.938,34.11,17.6,否
蔬果,0.119,0.6,5,否
蔬果,0.45,3.51,7.8,否
肉禽,1.174,32.64,27.8,否
蔬果,0.382,2.12,5.56,否
蔬果,0.36,2.79,7.76,否
粮油,1,3.9,3.9,否
粮油,1,2.7,2.7,否
酒饮,1,2,2,否
酒饮,1,18,18,否
蔬果,0.092,1.1,12,否
粮油,4,23.6,5.9,否
粮油,2,5.4,2.7,否
粮油,1.098,6.13,5.58,否
针织,1,17,17,否
酒饮,1,4,4,否
蔬果,4,80,20,否
日配,1,49.9,66,是
洗化,1,6,6,否
蔬果,0.594,3.9,6.56,否
粮油,1,6.7,6.7,否
蔬果,0.684,6.57,9.6,否
粮油,1,2.3,2.3,否
洗化,1,11.9,11.9,否
蔬果,1.576,2.84,1.8,否
洗化,1,2.8,3.5,是
蔬果,0.408,4.08,10,否
针织,1,19.9,35,是
蔬果,0.59,4.6,7.8,否
酒饮,1,15,15,否
洗化,1,4.9,4.9,否
蔬果,0.422,2.36,5.6,否
冲调,1,9.9,9.9,否
粮油,1,89,109,是
粮油,1,0.5,0.5,否
休闲,1,7.5,7.5,否
日配,0.828,5.61,6.78,否
肉禽,0.764,22.77,29.8,否
休闲,1,4.9,4.9,否
粮油,0.23,5.15,22.4,否
蔬果,1.128,2.89,2.56,否
蔬果,0.506,1.31,2.58,否
熟食,0.332,6.64,20,否
洗化,1,10.9,10.9,否
蔬果,0.866,48.5,56,否
肉禽,2.584,80.1,31,否
日配,1,13.9,16.3,是
冲调,1,56,56,否
粮油,1,4.8,4.8,否
蔬果,0.178,1.71,9.6,否
休闲,1,7.3,7.5,是
冲调,1,12.9,12.9,否
粮油,1,3.8,3.8,否
洗化,1,6.5,7.7,是
粮油,0.736,27.82,37.8,否
蔬果,0.86,2.22,2.58,否
冲调,1,4.7,4.7,否
蔬果,0.63,8.4,12,否
酒饮,1,12.9,12.9,否
酒饮,1,12.9,12.9,否
洗化,1,11.9,14.5,是
粮油,1.006,7.85,7.8,否
蔬果,0.218,1.96,9,否
熟食,0.432,8.64,20,否
休闲,0.366,13.1,35.8,否
蔬果,0.166,1.65,9.96,否
粮油,1,13.3,13.3,否
粮油,1,2.7,2.7,否
休闲,1,10.8,18.9,是
蔬果,0.49,8.23,16.8,否
蔬果,2,3,1.5,否
粮油,0.104,2.39,23,否
休闲,1,6.9,6.9,否
粮油,0.216,2.12,9.8,否
蔬果,0.335,0.67,2,否
休闲,1,3.3,3.3,否
休闲,1,7.9,7.9,否
肉禽,0.678,28.34,41.8,否
蔬果,0.152,1.82,12,否
粮油,1,2.3,2.3,否
粮油,1,2.7,2.7,否
粮油,1,5.7,5.7,否
日配,1,8.3,8.3,否
蔬果,0.618,1.59,2.58,否
蔬果,0.344,1.36,3.96,否
蔬果,0.282,2.81,9.96,否
日配,1,9.9,13.3,是
洗化,1,6.9,7.9,是
粮油,1,0.5,0.5,否
蔬果,0.758,3.79,5,否
休闲,0.872,25.98,39.6,是
粮油,1,5.9,5.9,否
日配,1,11,11,否
洗化,1,11.9,15.9,是
蔬果,0.572,3.32,5.8,否
蔬果,0.696,11.14,16,否
粮油,0.748,9.2,12.3,否
蔬果,0.7,1.26,1.8,否
粮油,1,56.9,56.9,否
日配,24,56,3,是
蔬果,0.26,2.5,9.6,否
粮油,1,2.3,2.3,否
休闲,1,5,5,否
蔬果,0.77,1.39,1.8,否
酒饮,1,5.8,6.9,是
粮油,1,21.8,21.8,否
蔬果,0.253,1.47,5.8,否
洗化,1,11.9,15.7,是
粮油,1,22.9,22.9,否
蔬果,0.184,1.77,9.6,否
休闲,1,9.9,9.9,否
洗化,1,12.9,12.9,否
肉禽,0.294,5.76,19.6,否
冲调,1,39.9,56,是
休闲,1,9.9,9.9,否
休闲,0.638,15.18,23.8,否
蔬果,0.342,10.26,30,否
日配,1,10.3,10.3,否
洗化,1,1.5,1.5,否
蔬果,0.702,1.81,2.58,否
酒饮,1,2.3,2.9,是
蔬果,0.508,1,1.96,否
粮油,1,3.5,4.3,是
蔬果,1.126,11.21,9.96,否
蔬果,1.058,6.3,11.98,否
熟食,0.246,6.89,28,否
